File extension,Name
.py,dot pie
.talon,dot talon
.md,dot mark down
.sh,dot shell
.vim,dot vim
.c,dot see
.cs,dot see sharp
.com,dot com
.net,dot net
.org,dot org
.us,dot us
.us,dot U S
.exe,dot exe
.bin,dot bin
.bin,dot bend
.json,dot jason
.json,dot jay son
.js,dot J S
.js,dot java script
.ts,dot TS
.ts,dot type script
.csv,dot csv
.csv,totssv
.csv,tot csv
.csv,dot cassie
.txt,dot text
.log,dot log
.sql,dot sequel
.pl,dot pearl
.go,dot go
.h,dot age
.cxx,dot see axe axe
.cpp,dot see pea pea
.hxx,dot age axe axe
.hpp,dot age pea pea
.avro,dot avro
.proto,dot proto
.xml,dot xml
.yaml,dot yaml
.tar,dot tar
.gz,dot gz
.bz2,dot bz two
.zstd,dot zstd
.zstd,dot zstandard
.tar.gz,dot tar gz
.tar.bz2,dot tar bz two
.tar.zstd,dot tar zstd
.tar.zstd,dot tar zstandard
